email,first_name,segment,segment_score,subject_line,preview_text,headline,body,cta_text,image_concept,creative_version_id,game_date,game_time,opponent,send_date
danny.mueller@email.com,Danny,die_hard,0.92,🔥 Washington Nationals roll into town Friday,This matchup is circled on every real fan's calendar.,This Is the Series You've Been Waiting For,"The Washington Nationals are coming to American Family Field on Friday, 2026-04-10 at 6:40 PM — and this one has all the makings of a classic.

Keep an eye on the pitching matchup. Our rotation has been dealing lately, and this series could have real implications down the stretch. You know the atmosphere at AmFam when the stakes are high.

This is the kind of game you want to say you were at. Grab your individual tickets now before the good seats are gone.",Get Your Tickets,Sold out crowd at Miller Park,v_die_hard_2026-04-10,2026-04-10,6:40 PM,Washington Nationals,2026-04-07
kevin.schmidt@email.com,Kevin,die_hard,0.88,🔥 Washington Nationals roll into town Friday,This matchup is circled on every real fan's calendar.,This Is the Series You've Been Waiting For,"The Washington Nationals are coming to American Family Field on Friday, 2026-04-10 at 6:40 PM — and this one has all the makings of a classic.

Keep an eye on the pitching matchup. Our rotation has been dealing lately, and this series could have real implications down the stretch. You know the atmosphere at AmFam when the stakes are high.

This is the kind of game you want to say you were at. Grab your individual tickets now before the good seats are gone.",Get Your Tickets,Sold out crowd at Miller Park,v_die_hard_2026-04-10,2026-04-10,6:40 PM,Washington Nationals,2026-04-07
lisa.hartwig@email.com,Lisa,die_hard,0.85,🔥 Washington Nationals roll into town Friday,This matchup is circled on every real fan's calendar.,This Is the Series You've Been Waiting For,"The Washington Nationals are coming to American Family Field on Friday, 2026-04-10 at 6:40 PM — and this one has all the makings of a classic.

Keep an eye on the pitching matchup. Our rotation has been dealing lately, and this series could have real implications down the stretch. You know the atmosphere at AmFam when the stakes are high.

This is the kind of game you want to say you were at. Grab your individual tickets now before the good seats are gone.",Get Your Tickets,Sold out crowd at Miller Park,v_die_hard_2026-04-10,2026-04-10,6:40 PM,Washington Nationals,2026-04-07
mike.jankowski@email.com,Mike,die_hard,0.81,🔥 Washington Nationals roll into town Friday,This matchup is circled on every real fan's calendar.,This Is the Series You've Been Waiting For,"The Washington Nationals are coming to American Family Field on Friday, 2026-04-10 at 6:40 PM — and this one has all the makings of a classic.

Keep an eye on the pitching matchup. Our rotation has been dealing lately, and this series could have real implications down the stretch. You know the atmosphere at AmFam when the stakes are high.

This is the kind of game you want to say you were at. Grab your individual tickets now before the good seats are gone.",Get Your Tickets,Sold out crowd at Miller Park,v_die_hard_2026-04-10,2026-04-10,6:40 PM,Washington Nationals,2026-04-07
sarah.novak@email.com,Sarah,die_hard,0.79,🔥 Washington Nationals roll into town Friday,This matchup is circled on every real fan's calendar.,This Is the Series You've Been Waiting For,"The Washington Nationals are coming to American Family Field on Friday, 2026-04-10 at 6:40 PM — and this one has all the makings of a classic.

Keep an eye on the pitching matchup. Our rotation has been dealing lately, and this series could have real implications down the stretch. You know the atmosphere at AmFam when the stakes are high.

This is the kind of game you want to say you were at. Grab your individual tickets now before the good seats are gone.",Get Your Tickets,Sold out crowd at Miller Park,v_die_hard_2026-04-10,2026-04-10,6:40 PM,Washington Nationals,2026-04-07
tom.weber@email.com,Tom,die_hard,0.77,🔥 Washington Nationals roll into town Friday,This matchup is circled on every real fan's calendar.,This Is the Series You've Been Waiting For,"The Washington Nationals are coming to American Family Field on Friday, 2026-04-10 at 6:40 PM — and this one has all the makings of a classic.

Keep an eye on the pitching matchup. Our rotation has been dealing lately, and this series could have real implications down the stretch. You know the atmosphere at AmFam when the stakes are high.

This is the kind of game you want to say you were at. Grab your individual tickets now before the good seats are gone.",Get Your Tickets,Sold out crowd at Miller Park,v_die_hard_2026-04-10,2026-04-10,6:40 PM,Washington Nationals,2026-04-07
jen.kowalski@email.com,Jen,die_hard,0.74,🔥 Washington Nationals roll into town Friday,This matchup is circled on every real fan's calendar.,This Is the Series You've Been Waiting For,"The Washington Nationals are coming to American Family Field on Friday, 2026-04-10 at 6:40 PM — and this one has all the makings of a classic.

Keep an eye on the pitching matchup. Our rotation has been dealing lately, and this series could have real implications down the stretch. You know the atmosphere at AmFam when the stakes are high.

This is the kind of game you want to say you were at. Grab your individual tickets now before the good seats are gone.",Get Your Tickets,Sold out crowd at Miller Park,v_die_hard_2026-04-10,2026-04-10,6:40 PM,Washington Nationals,2026-04-07
brian.fitzgerald@email.com,Brian,die_hard,0.91,🔥 Washington Nationals roll into town Friday,This matchup is circled on every real fan's calendar.,This Is the Series You've Been Waiting For,"The Washington Nationals are coming to American Family Field on Friday, 2026-04-10 at 6:40 PM — and this one has all the makings of a classic.

Keep an eye on the pitching matchup. Our rotation has been dealing lately, and this series could have real implications down the stretch. You know the atmosphere at AmFam when the stakes are high.

This is the kind of game you want to say you were at. Grab your individual tickets now before the good seats are gone.",Get Your Tickets,Sold out crowd at Miller Park,v_die_hard_2026-04-10,2026-04-10,6:40 PM,Washington Nationals,2026-04-07
amy.chen@email.com,Amy,die_hard,0.83,🔥 Washington Nationals roll into town Friday,This matchup is circled on every real fan's calendar.,This Is the Series You've Been Waiting For,"The Washington Nationals are coming to American Family Field on Friday, 2026-04-10 at 6:40 PM — and this one has all the makings of a classic.

Keep an eye on the pitching matchup. Our rotation has been dealing lately, and this series could have real implications down the stretch. You know the atmosphere at AmFam when the stakes are high.

This is the kind of game you want to say you were at. Grab your individual tickets now before the good seats are gone.",Get Your Tickets,Sold out crowd at Miller Park,v_die_hard_2026-04-10,2026-04-10,6:40 PM,Washington Nationals,2026-04-07
marcus.williams@email.com,Marcus,die_hard,0.76,🔥 Washington Nationals roll into town Friday,This matchup is circled on every real fan's calendar.,This Is the Series You've Been Waiting For,"The Washington Nationals are coming to American Family Field on Friday, 2026-04-10 at 6:40 PM — and this one has all the makings of a classic.

Keep an eye on the pitching matchup. Our rotation has been dealing lately, and this series could have real implications down the stretch. You know the atmosphere at AmFam when the stakes are high.

This is the kind of game you want to say you were at. Grab your individual tickets now before the good seats are gone.",Get Your Tickets,Sold out crowd at Miller Park,v_die_hard_2026-04-10,2026-04-10,6:40 PM,Washington Nationals,2026-04-07
frank.deluca@email.com,Frank,foodie,0.94,"🍺 Brews, bites & baseball — Friday at AmFam",New menu drops this series. Your taste buds will thank you.,The Best Bites in Baseball. Seriously.,"The Brewers host the Washington Nationals on Friday, 2026-04-10 at 6:40 PM — and this series, the food lineup might rival the batting order.

Think Wisconsin cheese curds, craft beer from local breweries, and a few new items the culinary team has been perfecting. Arrive early, grab a spot on the terrace, and taste your way through nine innings.

Baseball is better when it comes with a cold one and a loaded brat. Lock in your seats and bring your appetite.",Grab Your Seats & Your Appetite,Famous Brewers sausage race,v_foodie_2026-04-10,2026-04-10,6:40 PM,Washington Nationals,2026-04-07
maria.santos@email.com,Maria,foodie,0.89,"🍺 Brews, bites & baseball — Friday at AmFam",New menu drops this series. Your taste buds will thank you.,The Best Bites in Baseball. Seriously.,"The Brewers host the Washington Nationals on Friday, 2026-04-10 at 6:40 PM — and this series, the food lineup might rival the batting order.

Think Wisconsin cheese curds, craft beer from local breweries, and a few new items the culinary team has been perfecting. Arrive early, grab a spot on the terrace, and taste your way through nine innings.

Baseball is better when it comes with a cold one and a loaded brat. Lock in your seats and bring your appetite.",Grab Your Seats & Your Appetite,Famous Brewers sausage race,v_foodie_2026-04-10,2026-04-10,6:40 PM,Washington Nationals,2026-04-07
jake.brennan@email.com,Jake,foodie,0.86,"🍺 Brews, bites & baseball — Friday at AmFam",New menu drops this series. Your taste buds will thank you.,The Best Bites in Baseball. Seriously.,"The Brewers host the Washington Nationals on Friday, 2026-04-10 at 6:40 PM — and this series, the food lineup might rival the batting order.

Think Wisconsin cheese curds, craft beer from local breweries, and a few new items the culinary team has been perfecting. Arrive early, grab a spot on the terrace, and taste your way through nine innings.

Baseball is better when it comes with a cold one and a loaded brat. Lock in your seats and bring your appetite.",Grab Your Seats & Your Appetite,Famous Brewers sausage race,v_foodie_2026-04-10,2026-04-10,6:40 PM,Washington Nationals,2026-04-07
nina.patel@email.com,Nina,foodie,0.82,"🍺 Brews, bites & baseball — Friday at AmFam",New menu drops this series. Your taste buds will thank you.,The Best Bites in Baseball. Seriously.,"The Brewers host the Washington Nationals on Friday, 2026-04-10 at 6:40 PM — and this series, the food lineup might rival the batting order.

Think Wisconsin cheese curds, craft beer from local breweries, and a few new items the culinary team has been perfecting. Arrive early, grab a spot on the terrace, and taste your way through nine innings.

Baseball is better when it comes with a cold one and a loaded brat. Lock in your seats and bring your appetite.",Grab Your Seats & Your Appetite,Famous Brewers sausage race,v_foodie_2026-04-10,2026-04-10,6:40 PM,Washington Nationals,2026-04-07
chris.hoffmann@email.com,Chris,foodie,0.8,"🍺 Brews, bites & baseball — Friday at AmFam",New menu drops this series. Your taste buds will thank you.,The Best Bites in Baseball. Seriously.,"The Brewers host the Washington Nationals on Friday, 2026-04-10 at 6:40 PM — and this series, the food lineup might rival the batting order.

Think Wisconsin cheese curds, craft beer from local breweries, and a few new items the culinary team has been perfecting. Arrive early, grab a spot on the terrace, and taste your way through nine innings.

Baseball is better when it comes with a cold one and a loaded brat. Lock in your seats and bring your appetite.",Grab Your Seats & Your Appetite,Famous Brewers sausage race,v_foodie_2026-04-10,2026-04-10,6:40 PM,Washington Nationals,2026-04-07
ellie.nguyen@email.com,Ellie,foodie,0.78,"🍺 Brews, bites & baseball — Friday at AmFam",New menu drops this series. Your taste buds will thank you.,The Best Bites in Baseball. Seriously.,"The Brewers host the Washington Nationals on Friday, 2026-04-10 at 6:40 PM — and this series, the food lineup might rival the batting order.

Think Wisconsin cheese curds, craft beer from local breweries, and a few new items the culinary team has been perfecting. Arrive early, grab a spot on the terrace, and taste your way through nine innings.

Baseball is better when it comes with a cold one and a loaded brat. Lock in your seats and bring your appetite.",Grab Your Seats & Your Appetite,Famous Brewers sausage race,v_foodie_2026-04-10,2026-04-10,6:40 PM,Washington Nationals,2026-04-07
sam.kirchner@email.com,Sam,foodie,0.75,"🍺 Brews, bites & baseball — Friday at AmFam",New menu drops this series. Your taste buds will thank you.,The Best Bites in Baseball. Seriously.,"The Brewers host the Washington Nationals on Friday, 2026-04-10 at 6:40 PM — and this series, the food lineup might rival the batting order.

Think Wisconsin cheese curds, craft beer from local breweries, and a few new items the culinary team has been perfecting. Arrive early, grab a spot on the terrace, and taste your way through nine innings.

Baseball is better when it comes with a cold one and a loaded brat. Lock in your seats and bring your appetite.",Grab Your Seats & Your Appetite,Famous Brewers sausage race,v_foodie_2026-04-10,2026-04-10,6:40 PM,Washington Nationals,2026-04-07
rachel.bloom@email.com,Rachel,foodie,0.88,"🍺 Brews, bites & baseball — Friday at AmFam",New menu drops this series. Your taste buds will thank you.,The Best Bites in Baseball. Seriously.,"The Brewers host the Washington Nationals on Friday, 2026-04-10 at 6:40 PM — and this series, the food lineup might rival the batting order.

Think Wisconsin cheese curds, craft beer from local breweries, and a few new items the culinary team has been perfecting. Arrive early, grab a spot on the terrace, and taste your way through nine innings.

Baseball is better when it comes with a cold one and a loaded brat. Lock in your seats and bring your appetite.",Grab Your Seats & Your Appetite,Famous Brewers sausage race,v_foodie_2026-04-10,2026-04-10,6:40 PM,Washington Nationals,2026-04-07
